cell_class	marker_symbol	evidence_location	source_doi	source_url
Rod photoreceptor	Pde6a	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Cone photoreceptor	Arr3	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Bipolar cell	Vsx2	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Amacrine cell	Pax6	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Retinal ganglion cell	Rbpms	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Horizontal cell	Onecut1	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Muller glia	Slc1a3	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Astrocyte	Gfap	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Microglia	Cd74	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Endothelial cell	Pecam1	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Pericyte	Pdgfrb	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
Retinal pigment epithelium	Rpe65	Li et al. 2024 Figure 1E canonical major-class marker	10.1016/j.isci.2024.109916	https://doi.org/10.1016/j.isci.2024.109916
