cell_class,marker_symbol,evidence_location,source_doi,source_url,osd255_flight_vs_ground_gene_id,osd255_flight_vs_ground_log2fc,osd255_flight_vs_ground_fdr,osd758_microgravity_vs_ground_gene_id,osd758_microgravity_vs_ground_log2fc,osd758_microgravity_vs_ground_fdr,osd758_inflight_1g_vs_ground_gene_id,osd758_inflight_1g_vs_ground_log2fc,osd758_inflight_1g_vs_ground_fdr,osd203_7d_radiation_vs_control_gene_id,osd203_7d_radiation_vs_control_log2fc,osd203_7d_radiation_vs_control_fdr
Rod photoreceptor,Pde6a,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000024575,0.0598492234208908,0.71970308296653,ENSMUSG00000024575,0.0781162153374805,0.89354650984706,ENSMUSG00000024575,-0.181180490512635,1.0,ENSMUSG00000024575,-0.392852978844917,0.123906566767683
Cone photoreceptor,Arr3,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000060890,-0.300830432703672,0.0004798090120349,ENSMUSG00000060890,0.209792775689819,0.705006336678545,ENSMUSG00000060890,0.0181089367057091,1.0,ENSMUSG00000060890,-0.148933576511418,0.615576025207756
Bipolar cell,Vsx2,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000021239,0.0884255932134643,0.542492881244769,ENSMUSG00000021239,-0.0945238490933828,0.925955584360453,ENSMUSG00000021239,0.117567410707332,1.0,ENSMUSG00000021239,-0.0908338181298075,0.72034381215849
Amacrine cell,Pax6,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000027168,-0.0413839787376614,0.710898134397505,ENSMUSG00000027168,-0.161629890565272,0.775364217741226,ENSMUSG00000027168,0.0804750903261177,1.0,ENSMUSG00000027168,0.158345456096939,0.0522277745207454
Retinal ganglion cell,Rbpms,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000031586,-0.137382880402197,0.73960232129337,ENSMUSG00000031586,-0.123510069143859,0.852840440664485,ENSMUSG00000031586,0.12059505394075,1.0,ENSMUSG00000031586,-0.145049184697409,0.655142614601379
Horizontal cell,Onecut1,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000043013,-0.0140797153824759,0.979398463121773,ENSMUSG00000043013,-0.127499739283268,0.890672492948214,ENSMUSG00000043013,0.199446140483156,1.0,ENSMUSG00000043013,0.0819041587002255,0.751198083171412
Muller glia,Slc1a3,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000005360,-0.0202300248502536,0.915269487065658,ENSMUSG00000005360,-0.517998606563744,0.421888763273272,ENSMUSG00000005360,-0.149426749373169,1.0,ENSMUSG00000005360,0.17932499045125,0.277593751742421
Astrocyte,Gfap,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000020932,0.542138933004815,0.164889953164915,ENSMUSG00000020932,-1.64086763026276,0.109477831904552,ENSMUSG00000020932,-1.76018281538215,0.345052484977908,ENSMUSG00000020932,-0.240083560169682,0.870197430618295
Microglia,Cd74,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000024610,-0.349155113352427,,ENSMUSG00000024610,0.321722802930366,0.867386070442211,ENSMUSG00000024610,1.6234257783675,0.516169997997995,ENSMUSG00000024610,1.79481705653941,0.118104347175475
Endothelial cell,Pecam1,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000020717,-0.0104381782993629,0.984302930510751,ENSMUSG00000020717,0.502959169967497,0.121966521522471,ENSMUSG00000020717,0.0261524573415491,1.0,ENSMUSG00000020717,-0.100021552354151,0.74975626759816
Pericyte,Pdgfrb,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000024620,-0.154283955595286,0.633862968103632,ENSMUSG00000024620,0.561088682050766,0.350959765428174,ENSMUSG00000024620,0.217908756607797,1.0,ENSMUSG00000024620,0.292198169911361,0.232569488103309
Retinal pigment epithelium,Rpe65,Li et al. 2024 Figure 1E canonical major-class marker,10.1016/j.isci.2024.109916,https://doi.org/10.1016/j.isci.2024.109916,ENSMUSG00000028174,-0.318090043631805,0.825875828846522,ENSMUSG00000028174,0.868675702341598,0.50255693107971,ENSMUSG00000028174,-0.126453685743231,1.0,ENSMUSG00000028174,1.33255868435882,0.156387190416163
