gene_id,base_mean_normalized_count,count_log2fc,SYMBOL,GENENAME,nasa_log2fc,absolute_count_log2fc,contrast
ENSMUSG00000044518,12.253313961992149,-5.344575309588149,Foxe3,forkhead box E3,-2.67104823954361,5.344575309588149,OSD-255 flight versus ground
ENSMUSG00000033196,42.97809107752405,-5.335940017319526,Myh2,"myosin, heavy polypeptide 2, skeletal muscle, adult",-0.799660814024874,5.335940017319526,OSD-255 flight versus ground
ENSMUSG00000020908,66.98367064997423,-5.288049284360003,Myh3,"myosin, heavy polypeptide 3, skeletal muscle, embryonic",0.0362405868546129,5.288049284360003,OSD-255 flight versus ground
ENSMUSG00000092009,36.43102654007008,-5.1000214885090145,Myh15,"myosin, heavy chain 15",-1.01773215989806,5.1000214885090145,OSD-255 flight versus ground
ENSMUSG00000018893,29.739354470720915,-4.719361245870796,Mb,myoglobin,0.0893634636916594,4.719361245870796,OSD-255 flight versus ground
ENSMUSG00000056328,52.27339411950441,-4.6752127998161335,Myh1,"myosin, heavy polypeptide 1, skeletal muscle, adult",0.983725478441478,4.6752127998161335,OSD-255 flight versus ground
ENSMUSG00000061816,38.7640752769677,-4.533696310966104,Myl1,"myosin, light polypeptide 1",0.490338226170054,4.533696310966104,OSD-255 flight versus ground
ENSMUSG00000031097,16.29030642825662,-4.287297463483089,Tnni2,"troponin I, skeletal, fast 2",-0.777227341142528,4.287297463483089,OSD-255 flight versus ground
ENSMUSG00000061723,39.09767191059238,-4.249325067926835,Tnnt3,"troponin T3, skeletal, fast",0.9580187011907,4.249325067926835,OSD-255 flight versus ground
ENSMUSG00000020061,25.952960813695665,-4.091445548841448,Mybpc1,"myosin binding protein C, slow-type",0.928249205286823,4.091445548841448,OSD-255 flight versus ground
ENSMUSG00000049908,110.5099851917274,-4.045380755779378,Gja8,"gap junction protein, alpha 8",-0.893728444497083,4.045380755779378,OSD-255 flight versus ground
ENSMUSG00000038541,15.531029548321909,-3.915953487958929,Srd5a2,steroid 5 alpha-reductase 2,-0.825649533807933,3.915953487958929,OSD-255 flight versus ground
ENSMUSG00000048582,29.25907535379383,-3.6763747470930954,Gja3,"gap junction protein, alpha 3",-1.23735598104085,3.6763747470930954,OSD-255 flight versus ground
