ENSEMBL,SYMBOL,GENENAME,log2fc_flight_vs_ground,p_value,fdr
ENSMUSG00000025496,Drd4,dopamine receptor D4,0.80057397787443,1.75811145981519e-62,2.2851932754677802e-58
ENSMUSG00000024227,Pdzph1,PDZ and pleckstrin homology domains 1,-0.843397832497907,6.22992250198489e-26,4.04882663403998e-22
ENSMUSG00000056055,Sag,"S-antigen, retina and pineal gland (arrestin)",-0.644844884463052,2.7689345875940302e-25,1.19968705898491e-21
ENSMUSG00000025498,Irf7,interferon regulatory factor 7,1.41793271186542,2.08921910239686e-22,6.78891747323859e-19
ENSMUSG00000029276,Glmn,"glomulin, FKBP associated protein",-0.682668863926816,1.4025451042117e-17,3.64605625290873e-14
ENSMUSG00000120121,,,0.989233973062386,6.654840894417139e-16,1.44166036576057e-12
ENSMUSG00000027589,Pcmtd2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2,-0.332448501164149,9.73503818444225e-16,1.80765751887686e-12
ENSMUSG00000008348,Ubc,ubiquitin C,-0.338683830150442,2.0930985495312303e-15,3.40076186835087e-12
ENSMUSG00000018102,H2bc4,H2B clustered histone 4,0.507341437202041,2.83418649291835e-15,4.09319511499475e-12
ENSMUSG00000037428,Vgf,VGF nerve growth factor inducible,-0.844713500136603,1.47262370784603e-14,1.91411629545827e-11
ENSMUSG00000040565,Btaf1,B-TFIID TATA-box binding protein associated factor 1,0.266927209617782,1.08098741744275e-13,1.27733404108371e-10
ENSMUSG00000018076,Med13l,mediator complex subunit 13-like,-0.488799915810918,2.4562035924410197e-13,2.66047785787903e-10
ENSMUSG00000032087,Dscaml1,DS cell adhesion molecule like 1,-0.454268352278729,3.39157796627863e-13,3.39105618505305e-10
ENSMUSG00000040543,Pitpnm3,PITPNM family member 3,0.474743930820508,5.21495736025093e-13,4.84171541203868e-10
ENSMUSG00000006204,Cdcp3,CUB domain containing protein 3,-0.698606875270713,1.19199957675157e-12,1.0329073665744602e-09
ENSMUSG00000078773,Rad54b,RAD54 homolog B (S. cerevisiae),0.790052166639513,1.31183409151381e-11,1.04682025111988e-08
ENSMUSG00000034312,Iqsec1,IQ motif and Sec7 domain 1,-0.346087849332065,1.3691294252221798e-11,1.04682025111988e-08
ENSMUSG00000022237,Ankrd33b,ankyrin repeat domain 33B,-0.396732305132026,3.9499513662855196e-11,2.85230376994328e-08
ENSMUSG00000002459,Rgs20,regulator of G-protein signaling 20,-0.483662229852093,7.05965283026816e-11,4.82954565725397e-08
ENSMUSG00000071379,Hpcal1,hippocalcin-like 1,-0.396709760474364,7.933851745796009e-11,5.15621024959283e-08
ENSMUSG00000037112,Sik2,salt inducible kinase 2,0.595358150576231,9.056265329153289e-11,5.60539698801593e-08
ENSMUSG00000056999,Ide,insulin degrading enzyme,0.399958722483655,1.39820100889323e-10,8.26082577890643e-08
ENSMUSG00000024900,Cpt1a,"carnitine palmitoyltransferase 1a, liver",-0.480865710925297,2.54223507912737e-10,1.43669441558685e-07
ENSMUSG00000062825,Actg1,"actin, gamma, cytoplasmic 1",-0.233730613110434,3.28840861888205e-10,1.78094730117621e-07
ENSMUSG00000020431,Adcy1,adenylate cyclase 1,-0.43311404371772,3.79453178533948e-10,1.9728529658337e-07
ENSMUSG00000021508,Cxcl14,C-X-C motif chemokine ligand 14,-0.399135032261976,8.65517707975984e-10,4.32692275702763e-07
ENSMUSG00000004655,Aqp1,aquaporin 1,0.482756274462016,9.28604963424368e-10,4.47037307947775e-07
ENSMUSG00000026203,Dnajb2,DnaJ heat shock protein family (Hsp40) member B2,0.327446627082983,1.0257017967096e-09,4.76145426915405e-07
ENSMUSG00000041261,Car8,carbonic anhydrase 8,-0.370364010048455,1.46978090394942e-09,6.58765937570158e-07
ENSMUSG00000004698,Hdac9,histone deacetylase 9,-0.28495267014672,6.009913198729211e-09,2.60389505856941e-06
ENSMUSG00000018752,Tnfsfm13,"tumor necrosis factor (ligand) superfamily, membrane-bound member 13",-0.644530522832392,7.51914800493959e-09,3.15270599252274e-06
ENSMUSG00000029777,Gars1,glycyl-tRNA synthetase 1,-0.267295445433788,1.60255769269778e-08,6.35213643794502e-06
ENSMUSG00000020848,Doc2b,"double C2, beta",-0.315598291164969,1.61271351324962e-08,6.35213643794502e-06
ENSMUSG00000026797,Stxbp1,syntaxin binding protein 1,-0.359621360911215,2.26564470054749e-08,8.66142641697539e-06
ENSMUSG00000062908,Acadm,"acyl-Coenzyme A dehydrogenase, medium chain",-0.565674586477741,2.97621398646e-08,1.10528083988592e-05
ENSMUSG00000044375,Pcare,photoreceptor cilium actin regulator,-0.361118059147582,3.21656967588157e-08,1.15068340124165e-05
ENSMUSG00000021730,Hcn1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,-0.319807874748839,3.27552591521318e-08,1.15068340124165e-05
ENSMUSG00000028782,Adgrb2,adhesion G protein-coupled receptor B2,-0.544848906986682,5.53450251515992e-08,1.89309114979075e-05
ENSMUSG00000041775,Mapk1ip1,mitogen-activated protein kinase 1 interacting protein 1,0.314733421185159,6.99664733637335e-08,2.33185697636361e-05
ENSMUSG00000108841,Frmpd2,FERM and PDZ domain containing 2,0.385593163439484,9.04732876555864e-08,2.93992948236828e-05
ENSMUSG00000020048,Hsp90b1,"heat shock protein 90, beta (Grp94), member 1",0.247859067513915,9.32488469882702e-08,2.95621588574033e-05
ENSMUSG00000031293,Rs1,"retinoschisis (X-linked, juvenile) 1 (human)",-0.33148687339403,1.03618675611614e-07,3.20675129904703e-05
ENSMUSG00000036480,Prss56,serine protease 56,-0.94526929035314,1.27168259896508e-07,3.84403033054609e-05
ENSMUSG00000029328,Hnrnpdl,heterogeneous nuclear ribonucleoprotein D-like,-0.33183328204376,1.3312503878205e-07,3.93263466838427e-05
ENSMUSG00000098233,,,-0.486060778931834,1.43024359399132e-07,4.13117916326649e-05
ENSMUSG00000027530,Fabp12,fatty acid binding protein 12,0.352379487560413,1.55105170438225e-07,4.38273262033924e-05
ENSMUSG00000022594,Lynx1,Ly6/neurotoxin 1,-0.217639898269868,2.25117538971821e-07,6.22569738628879e-05
ENSMUSG00000100252,Mir124-2hg,Mir124-2 host gene (non-protein coding),0.214811591287678,2.78198762889083e-07,7.53339066673397e-05
ENSMUSG00000015656,Hspa8,heat shock protein 8,0.370508806983342,3.5334714743889e-07,9.35103036094486e-05
ENSMUSG00000025582,Nptx1,neuronal pentraxin 1,-0.249415327703247,3.59710353936946e-07,9.35103036094486e-05
ENSMUSG00000002428,Hltf,helicase-like transcription factor,0.259133418622468,3.95268963683733e-07,0.0001007393331364
ENSMUSG00000038370,Pcp4l1,Purkinje cell protein 4-like 1,0.338712990757858,4.23818016921629e-07,0.0001059382035374
ENSMUSG00000022564,Grina,"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)",-0.21247314755321,4.51675472807338e-07,0.0001107712791613
ENSMUSG00000021647,Cartpt,CART prepropeptide,-0.334036881039941,4.78765123233986e-07,0.0001152405383665
ENSMUSG00000026864,Hspa5,heat shock protein 5,0.342820442674566,5.88923589333268e-07,0.0001391787057118
ENSMUSG00000035615,Frmpd1,FERM and PDZ domain containing 1,0.288533882972968,6.09791341496152e-07,0.0001415369260136
ENSMUSG00000020893,Per1,period circadian clock 1,-0.311144294344915,1.10792740519556e-06,0.0002509609360432
ENSMUSG00000047246,H2bc6,H2B clustered histone 6,0.486454497948679,1.11984415221658e-06,0.0002509609360432
ENSMUSG00000040009,Gnaz,"guanine nucleotide binding protein, alpha z subunit",0.318642538569517,1.16078790052243e-06,0.0002557274767964
ENSMUSG00000040010,Slc7a5,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5",-0.357971216731944,1.41177417373137e-06,0.0003058373451693
ENSMUSG00000027360,Hdc,histidine decarboxylase,-0.425013872290571,1.50482153109815e-06,0.000320650332151
ENSMUSG00000023979,Guca1b,guanylate cyclase activator 1B,-0.351079337891957,1.63353706173688e-06,0.0003424631407815
ENSMUSG00000020744,Slc25a19,"solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19",0.391720855830815,1.68832874467276e-06,0.0003483316987818
ENSMUSG00000041534,Rbp3,"retinol binding protein 3, interstitial",-0.221007068432914,1.89225155949777e-06,0.0003843044651617
ENSMUSG00000025323,Sp4,trans-acting transcription factor 4,0.216577197348886,2.04409868998947e-06,0.0004087568426535
ENSMUSG00000022421,Nptxr,neuronal pentraxin receptor,-0.220544851645249,2.08530238507889e-06,0.0004106781878978
ENSMUSG00000017721,Pigt,"phosphatidylinositol glycan anchor biosynthesis, class T",-0.194431866893047,2.17052033274324e-06,0.0004210809445521
ENSMUSG00000017344,Vtn,vitronectin,-0.23086258599313,2.32271249466474e-06,0.0004439796618478
ENSMUSG00000060890,Arr3,"arrestin 3, retinal",-0.300830432703672,2.5605859346929e-06,0.0004798090120349
ENSMUSG00000025161,Slc16a3,"solute carrier family 16 (monocarboxylic acid transporters), member 3",0.309136898608577,2.58398452396085e-06,0.0004798090120349
ENSMUSG00000070392,,,0.414827552349249,2.6721241766721e-06,0.0004891869020899
ENSMUSG00000024500,Ppp2r2b,"protein phosphatase 2, regulatory subunit B, beta",-0.417505608620601,3.23929612221883e-06,0.0005847829305083
ENSMUSG00000085105,Gm12758,predicted gene 12758,0.525605846134789,3.82970150451406e-06,0.0006818967144612
ENSMUSG00000047632,Fgfbp3,fibroblast growth factor binding protein 3,0.703497987953439,4.02259555363023e-06,0.0007065634730552
ENSMUSG00000039542,Ncam1,neural cell adhesion molecule 1,-0.169322419507763,4.33089376033631e-06,0.0007505727612913
ENSMUSG00000027447,Cst3,cystatin C,-0.285753309397136,4.47261552299963e-06,0.0007649349548414
ENSMUSG00000102375,,,0.351749651637631,7.6119562072295e-06,0.0012849377504099
ENSMUSG00000021221,Dpf3,double PHD fingers 3,-0.278229674685403,8.85533529375652e-06,0.0014756621557467
ENSMUSG00000110945,,,0.418972199262695,9.06703108088437e-06,0.0014918135441688
ENSMUSG00000106887,,,0.447587719851796,9.60249334711017e-06,0.0015457574356855
ENSMUSG00000021068,Nin,ninein,0.30360539168354,9.63273982847555e-06,0.0015457574356855
ENSMUSG00000039629,Strip2,striatin interacting protein 2,-0.316728016551734,9.84338779962176e-06,0.0015602970075546
ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1",-0.708188105446094,1.0013214240308e-05,0.0015680934782593
ENSMUSG00000005649,Cabp5,calcium binding protein 5,0.28731093736233,1.03918783285729e-05,0.0016080194585094
ENSMUSG00000121785,Ubb-ps,"ubiquitin B, pseudogene",-0.266745029361822,1.05589303624416e-05,0.0016127806182499
ENSMUSG00000015217,Hmgb3,high mobility group box 3,-0.499869727320883,1.06708057523846e-05,0.0016127806182499
ENSMUSG00000041313,Slc7a1,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1",-0.412895278305021,1.13165076029853e-05,0.001690712250846
ENSMUSG00000034075,Zdhhc5,"zinc finger, DHHC domain containing 5",0.222187922900348,1.24605135033751e-05,0.0018404744831462
