gene_id,vst_mean_difference,hedges_g,welch_p,welch_fdr,SYMBOL,GENENAME,nasa_log2fc,contrast
ENSMUSG00000025496,0.7278597678762022,8.65672142459146,3.829214569237595e-11,8.987932436914484e-07,Drd4,dopamine receptor D4,0.80057397787443,OSD-255 flight versus ground
ENSMUSG00000040565,0.2290764900221003,5.164632943608835,6.299936637748612e-08,0.0007393605638061771,Btaf1,B-TFIID TATA-box binding protein associated factor 1,0.266927209617782,OSD-255 flight versus ground
ENSMUSG00000008348,-0.3297787921762758,-4.137481102771237,4.950048952795143e-07,0.002864219386014546,Ubc,ubiquitin C,-0.338683830150442,OSD-255 flight versus ground
ENSMUSG00000041775,0.19814173067153718,4.490230196376221,5.691280057338452e-07,0.002864219386014546,Mapk1ip1,mitogen-activated protein kinase 1 interacting protein 1,0.314733421185159,OSD-255 flight versus ground
ENSMUSG00000027589,-0.31896023055712597,-4.25781724800922,6.10135349781558e-07,0.002864219386014546,Pcmtd2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2,-0.332448501164149,OSD-255 flight versus ground
ENSMUSG00000071379,-0.27312004513751376,-3.983858855078769,8.066328701454292e-07,0.0030335688141860857,Hpcal1,hippocalcin-like 1,-0.396709760474364,OSD-255 flight versus ground
ENSMUSG00000056055,-0.6458560306649623,-4.99005944914902,9.046941760098244e-07,0.0030335688141860857,Sag,"S-antigen, retina and pineal gland (arrestin)",-0.644844884463052,OSD-255 flight versus ground
ENSMUSG00000024227,-0.7927295841083257,-4.809847682199058,1.3172100739893515e-06,0.0037783004535837683,Pdzph1,PDZ and pleckstrin homology domains 1,-0.843397832497907,OSD-255 flight versus ground
ENSMUSG00000018102,0.4507419482243371,3.789496768650659,1.5197446385402325e-06,0.0037783004535837683,H2bc4,H2B clustered histone 4,0.507341437202041,OSD-255 flight versus ground
ENSMUSG00000086262,-0.39926955926163465,-4.188938088917055,1.6097053738853819e-06,0.0037783004535837683,A930031H19Rik,RIKEN cDNA A930031H19 gene,-2.06384268622042,OSD-255 flight versus ground
ENSMUSG00000078773,0.3327537901575095,3.589117197566835,2.587905624192255e-06,0.005522120073730965,Rad54b,RAD54 homolog B (S. cerevisiae),0.790052166639513,OSD-255 flight versus ground
ENSMUSG00000062825,-0.22271506002303632,-3.5275981543304766,3.058760151959448e-06,0.005747967879468614,Actg1,"actin, gamma, cytoplasmic 1",-0.233730613110434,OSD-255 flight versus ground
ENSMUSG00000120121,0.4691772455799956,3.91087951760333,3.2862513096957813e-06,0.005747967879468614,,,0.989233973062386,OSD-255 flight versus ground
ENSMUSG00000032087,-0.4138229931021371,-3.499472063562344,3.4284061994103864e-06,0.005747967879468614,Dscaml1,DS cell adhesion molecule like 1,-0.454268352278729,OSD-255 flight versus ground
ENSMUSG00000026203,0.2521836706292415,3.4851434407854085,3.7015627001476146e-06,0.005792205313190987,Dnajb2,DnaJ heat shock protein family (Hsp40) member B2,0.327446627082983,OSD-255 flight versus ground
ENSMUSG00000029777,-0.21250850111765374,-3.4811218670181963,4.550992972876113e-06,0.006630237198228209,Gars1,glycyl-tRNA synthetase 1,-0.267295445433788,OSD-255 flight versus ground
ENSMUSG00000040543,0.4336516799851502,3.408316995478446,4.802063410441358e-06,0.006630237198228209,Pitpnm3,PITPNM family member 3,0.474743930820508,OSD-255 flight versus ground
ENSMUSG00000034312,-0.3262656004895881,-3.3715629536975684,5.6285905527611635e-06,0.007339682080800557,Iqsec1,IQ motif and Sec7 domain 1,-0.346087849332065,OSD-255 flight versus ground
ENSMUSG00000025498,0.7213424805806241,4.05944107960579,6.996896999122436e-06,0.00864374559807378,Irf7,interferon regulatory factor 7,1.41793271186542,OSD-255 flight versus ground
ENSMUSG00000033460,-0.10202178135837414,-3.2251756212878475,8.446864797349354e-06,0.00983478971907168,Armcx1,"armadillo repeat containing, X-linked 1",-0.144460560920189,OSD-255 flight versus ground
ENSMUSG00000018076,-0.45175848364241133,-3.4721794817719864,8.799019431684785e-06,0.00983478971907168,Med13l,mediator complex subunit 13-like,-0.488799915810918,OSD-255 flight versus ground
ENSMUSG00000006204,-0.5820134914792376,-3.1501403137250463,1.0734908274493635e-05,0.011349475483343389,Cdcp3,CUB domain containing protein 3,-0.698606875270713,OSD-255 flight versus ground
ENSMUSG00000037428,-0.6203071510725344,-3.6086666053451237,1.1121248130406356e-05,0.011349475483343389,Vgf,VGF nerve growth factor inducible,-0.844713500136603,OSD-255 flight versus ground
ENSMUSG00000056999,0.3480345214294118,3.1352147625032485,1.1887367886281983e-05,0.011625845792783779,Ide,insulin degrading enzyme,0.399958722483655,OSD-255 flight versus ground
ENSMUSG00000004698,-0.24757574053170117,-3.1197341595713763,1.2861930875365859e-05,0.012075809660263497,Hdac9,histone deacetylase 9,-0.28495267014672,OSD-255 flight versus ground
ENSMUSG00000029276,-0.5261827201371823,-4.1474428695836005,1.4710263185103764e-05,0.013279972980029059,Glmn,"glomulin, FKBP associated protein",-0.682668863926816,OSD-255 flight versus ground
ENSMUSG00000085511,-0.19327356159323195,-3.052012565562541,2.101014295699887e-05,0.017746792238968922,,,-3.1728929186491,OSD-255 flight versus ground
ENSMUSG00000050926,0.16394199288129396,2.9628844811272637,2.1431930242660583e-05,0.017746792238968922,Dcaf12l2,DDB1 and CUL4 associated factor 12-like 2,3.19191907614823,OSD-255 flight versus ground
ENSMUSG00000020848,-0.25697142810506435,-2.949130498880129,2.1926421903974898e-05,0.017746792238968922,Doc2b,"double C2, beta",-0.315598291164969,OSD-255 flight versus ground
ENSMUSG00000022594,-0.1911036338675487,-2.9374447213789487,2.4802094390700467e-05,0.01796180898154336,Lynx1,Ly6/neurotoxin 1,-0.217639898269868,OSD-255 flight versus ground
ENSMUSG00000022237,-0.3765703163174514,-3.206769928312955,2.4934607798288023e-05,0.01796180898154336,Ankrd33b,ankyrin repeat domain 33B,-0.396732305132026,OSD-255 flight versus ground
ENSMUSG00000021508,-0.297372508367987,-3.332580881930076,2.5203093122674372e-05,0.01796180898154336,Cxcl14,C-X-C motif chemokine ligand 14,-0.399135032261976,OSD-255 flight versus ground
ENSMUSG00000002459,-0.353725608883666,-3.3127373320495224,2.5523448153244457e-05,0.01796180898154336,Rgs20,regulator of G-protein signaling 20,-0.483662229852093,OSD-255 flight versus ground
ENSMUSG00000002428,0.20599419131119134,2.8984022529700977,2.6018298626979987e-05,0.01796180898154336,Hltf,helicase-like transcription factor,0.259133418622468,OSD-255 flight versus ground
ENSMUSG00000024900,-0.4351722916989367,-2.913763865124788,2.726204139091148e-05,0.018282703872213552,Cpt1a,"carnitine palmitoyltransferase 1a, liver",-0.480865710925297,OSD-255 flight versus ground
ENSMUSG00000025582,-0.20431469639468602,-2.8729833015507382,2.8558776509466427e-05,0.01848357566512657,Nptx1,neuronal pentraxin 1,-0.249415327703247,OSD-255 flight versus ground
ENSMUSG00000004655,0.36541097474182926,2.9182916814761652,2.9136515832041713e-05,0.01848357566512657,Aqp1,aquaporin 1,0.482756274462016,OSD-255 flight versus ground
ENSMUSG00000022421,-0.1727443123664063,-2.9057270644282025,3.30378710131055e-05,0.020406971274200325,Nptxr,neuronal pentraxin receptor,-0.220544851645249,OSD-255 flight versus ground
ENSMUSG00000031029,0.13973129509267324,2.8231000004350064,3.4794134349591584e-05,0.020872027262236165,Eif3f,"eukaryotic translation initiation factor 3, subunit F",0.161721032921407,OSD-255 flight versus ground
ENSMUSG00000020431,-0.4150689388204878,-2.9042807640272628,3.55692352798844e-05,0.020872027262236165,Adcy1,adenylate cyclase 1,-0.43311404371772,OSD-255 flight versus ground
ENSMUSG00000070883,0.16167547926939108,2.8226212791495633,3.752224834493116e-05,0.021481029589078635,Cfap210,cilia and flagella associated protein 210,0.292195751987905,OSD-255 flight versus ground
ENSMUSG00000032380,-0.14278075392703915,-2.747660215556219,4.782658312452185e-05,0.026627348631021678,Dapk2,death-associated protein kinase 2,-2.7538092121624,OSD-255 flight versus ground
ENSMUSG00000017721,-0.17247314553804927,-2.764086237876443,4.878050405308163e-05,0.026627348631021678,Pigt,"phosphatidylinositol glycan anchor biosynthesis, class T",-0.194431866893047,OSD-255 flight versus ground
ENSMUSG00000022564,-0.197114881688238,-2.7149855791885456,5.155551866573433e-05,0.02750252577550264,Grina,"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)",-0.21247314755321,OSD-255 flight versus ground
ENSMUSG00000003752,-0.13747378567152602,-2.7959077091778197,5.328014909880609e-05,0.027790925769937254,Itpkc,"inositol 1,4,5-trisphosphate 3-kinase C",-0.319532487567197,OSD-255 flight versus ground
ENSMUSG00000020048,0.2364939554085126,2.71859095309735,5.977715341651158e-05,0.030501942282442605,Hsp90b1,"heat shock protein 90, beta (Grp94), member 1",0.247859067513915,OSD-255 flight versus ground
ENSMUSG00000049649,-0.18087787708631087,-2.661022234070454,6.595058714586427e-05,0.03247787882147093,Gpr3,G-protein coupled receptor 3,-1.09734368695867,OSD-255 flight versus ground
ENSMUSG00000041261,-0.29245622990988096,-3.183422449108241,6.641693010525752e-05,0.03247787882147093,Car8,carbonic anhydrase 8,-0.370364010048455,OSD-255 flight versus ground
ENSMUSG00000025355,-0.1777994786285495,-2.605407018367673,7.66523052388946e-05,0.03651983658381612,Mmp19,matrix metallopeptidase 19,-2.82364750085879,OSD-255 flight versus ground
ENSMUSG00000044375,-0.34047169127057586,-2.6029790307372096,7.782924674536121e-05,0.03651983658381612,Pcare,photoreceptor cilium actin regulator,-0.361118059147582,OSD-255 flight versus ground
ENSMUSG00000107640,-0.582001578625003,-2.7745591638773224,2.0752738512971387e-06,0.036805234945760136,,,-2.87930062149341,OSD-758 uG versus ground
ENSMUSG00000120808,-0.5029931957976128,-2.567080076713537,3.175046922758797e-06,0.036805234945760136,,,-0.660783482823511,OSD-758 uG versus ground
ENSMUSG00000024454,0.26879739555640825,2.7920294035208673,4.465291820756862e-06,0.036805234945760136,Hdac3,histone deacetylase 3,0.271287553908415,OSD-758 uG versus ground
ENSMUSG00000090861,-0.3928671894522626,-2.5960643636570437,5.710285561463815e-06,0.036805234945760136,,,-3.40815117810416,OSD-758 uG versus ground
ENSMUSG00000065687,-0.5000122910022355,-2.576882255872468,6.128690003290395e-06,0.036805234945760136,Gm23734,"predicted gene, 23734",-4.08521884014529,OSD-758 uG versus ground
ENSMUSG00000035711,-0.7644797316700798,-2.6634160809935374,1.1619696760999195e-05,0.046814105297654035,Dok3,docking protein 3,-1.01701275309399,OSD-758 uG versus ground
ENSMUSG00000027248,-0.5829890230438917,-2.7629837172581047,1.2039792369501807e-05,0.046814105297654035,Pdia3,protein disulfide isomerase associated 3,-0.597053820821411,OSD-758 uG versus ground
ENSMUSG00000031394,0.7429881643674126,2.606580668488045,1.2837694919073839e-05,0.046814105297654035,Opn1mw,"opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan)",0.725615960087595,OSD-758 uG versus ground
ENSMUSG00000029432,0.5625812103866163,2.737042760171404,1.4031603146464393e-05,0.046814105297654035,Nipsnap2,nipsnap homolog 2,0.558477820481705,OSD-758 uG versus ground
ENSMUSG00000113671,-0.6821399609038625,-2.2005683429610574,1.7792395797634225e-05,0.053425226861556284,Gm2233,predicted gene 2233,-0.809741725307675,OSD-758 uG versus ground
ENSMUSG00000053358,-0.24114900316408505,-2.1745969083022643,1.993787345858028e-05,0.05442495694007183,,,-0.360460562680106,OSD-758 uG versus ground
ENSMUSG00000003814,-0.8491512486803234,-3.268318814737546,2.443428885722201e-05,0.05691599891961083,Calr,calreticulin,-0.861429830088212,OSD-758 uG versus ground
ENSMUSG00000096140,0.8469562479082153,3.2001977401325803,2.4641422251804736e-05,0.05691599891961083,Ankrd66,ankyrin repeat domain 66,2.16729147034787,OSD-758 uG versus ground
ENSMUSG00000111082,0.44163407478729866,2.482395845900296,2.894255279108639e-05,0.06128714489763629,,,1.26569949382211,OSD-758 uG versus ground
